nom,longitude,latitude,categorie,secteur,aire,image,date_creation,zone,batiment,lampadaire,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Espace vert aménagé 3,1.216675,6.172415,Espace vert aménagé,,8665.738878707481,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302616.91320011683 682658.8955250192, 302748.0666610341 682594.3953169927, 302723.0502281856 682552.2726232901, 302625.403648254 682554.3264411503, 302616.91320011683 682658.8955250192)))"
Aire Forestiére de Redéployement Reboisé 2,1.212907,6.18353,Aire Forestiére de Redéployement Reboisé,,18064.369516245857,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302231.3253051782 683955.3399307097, 302350.1216258254 683722.1228407043, 302296.37778028625 683689.7967279095, 302166.1335091066 683917.7811110016, 302231.3253051782 683955.3399307097)))"
Espace vert aménagé 4,1.213769,6.17578,Espace vert aménagé,,1553.8731667699276,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302334.7528932679 682987.7692436033, 302335.1195428482 682988.0440462438, 302335.54741874884 682988.2082124276, 302336.0039137934 682988.249231529, 302343.427528594 682987.8871073102, 302343.984817381 682990.8924045158, 302344.18944030476 682991.436664937, 302344.56944238266 682991.8769551555, 302345.07815041754 682992.1591971774, 302345.6530830961 682992.248725045, 302367.837008495 682991.7712550901, 302368.3453258475 682991.6800390173, 302368.80100143846 682991.4371720758, 302369.15994566714 682991.066153235, 302369.3874283242 682990.6028810013, 302369.4614389682 682990.0921800013, 302368.9079919207 682945.3562494314, 302368.81865074846 682944.8395300659, 302368.57236385334 682944.3764868475, 302368.19373828464 682944.0133834197, 302367.7206033348 682943.7864982272, 302367.2002309342 682943.7184998598, 302335.3367824699 682944.6314830765, 302334.8373803169 682944.7234176005, 302334.3891460043 682944.9618745983, 302334.03400966735 682945.3245475803, 302333.80519257777 682945.7775102577, 302333.72409945616 682946.2783901809, 302333.4532555839 682985.7775323964, 302333.5083171828 682986.2127336796, 302333.675614841 682986.6182996766, 302333.94345108175 682986.9658731606, 302334.7528932679 682987.7692436033), (302351.61933151196 682974.8213319982, 302351.6546250483 682974.3130204997, 302351.5338553408 682973.8179832613, 302351.2684153981 682973.3829204498, 302350.88334593875 682973.0488744456, 302350.41497313464 682972.8473580396, 302349.9074817203 682972.7973816218, 302344.2753339195 682973.1125195775, 302344.94264672557 682968.5635048524, 302361.06813266885 682969.5162230335, 302360.56966292893 682974.6713146495, 302358.11355922953 682975.2253212687, 302357.5971555662 682975.4380463625, 302357.1805786856 682975.8098480524, 302356.91097743314 682976.2986452212, 302356.818865712 682976.8491150136, 302356.82716952334 682979.3242313917, 302350.8181243773 682978.3442512956, 302351.61933151196 682974.8213319982)))"
Espace vert Non aménagé 1,1.213539,6.174921,Espace vert Non aménagé,,893.0670459910363,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302321.44529777137 682839.0815648552, 302320.95701605023 682839.1772935373, 302320.5190511423 682839.4132890821, 302320.17074066773 682839.7683545797, 302319.9433695633 682840.2105983619, 302319.8573600977 682840.7002984851, 302318.4467125423 682901.1615133161, 302318.5827067843 682901.858774519, 302319.8022807671 682904.6759851507, 302320.14824410516 682905.1865424007, 302320.6569179791 682905.535595558, 302324.29265103256 682907.1355699953, 302324.9097930087 682907.275481976, 302325.53450135293 682907.1745062149, 302329.96615508426 682905.547464963, 302330.4550641244 682905.265880195, 302330.82134230935 682904.8369388595, 302331.02267636894 682904.3101932119, 302331.8158932254 682900.2771000523, 302331.8465878748 682899.9964694956, 302333.25995355216 682840.3413362722, 302333.1843424812 682839.805661372, 302332.94026566856 682839.322775594, 302332.5536780026 682838.9440285456, 302332.0656888408 682838.7096958243, 302331.5281904803 682838.6446961476, 302321.44529777137 682839.0815648552)))"
Espace vert Non aménagé 2,1.213884,6.174892,Espace vert Non aménagé,,1977.9404309406364,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302347.6089390314 682892.6122244926, 302348.2019580662 682892.7432332047, 302380.74734130094 682893.8383242525, 302380.8087954717 682893.839254789, 302382.0140303142 682893.8352123307, 302382.5185111563 682893.7550009085, 302382.9747104981 682893.5253454541, 302383.3394439402 682893.1679854401, 302383.5781853586 682892.7167490122, 302383.6683351896 682892.2143507749, 302384.7200907734 682846.4489389503, 302384.6496805219 682845.9314171108, 302384.42172837496 682845.4614164432, 302384.05882817315 682845.0855218205, 302383.59694935236 682844.8409906446, 302383.0818717764 682844.7520600196, 302346.3201556938 682844.2732332195, 302345.8184926293 682844.3439390453, 302345.3615242084 682844.5625149099, 302344.99179938645 682844.9086089167, 302344.74374374666 682845.3499957789, 302344.64045408636 682845.8455773626, 302342.3754142979 682889.2065484549, 302342.4260967695 682889.7085951987, 302342.625487871 682890.1721931515, 302342.9551405576 682890.5544516804, 302343.3845563914 682890.8200054226, 302347.6089390314 682892.6122244926)))"
Ceinture Verte Non Aménagée,1.212008,6.166356,Ceinture Verte Non Aménagée,,23058.995129987175,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302022.94683938497 682027.9337042822, 302260.6327594512 682022.6912615058, 302294.28716626076 681823.8110511209, 302045.7894624688 681827.184268977, 302022.94683938497 682027.9337042822), (302060.3407139898 681996.691246295, 302074.49004474655 681856.9348962841, 302073.21678325965 681856.3041266579, 302260.060260623 681851.8674795422, 302237.6502985797 681992.2863854208, 302060.3407139898 681996.691246295)))"
Espace vert Non aménagé 3,1.213469,6.181572,Espace vert Non aménagé,,722.2163215576676,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302300.36461179366 683630.1416979347, 302312.32919981726 683634.9855113061, 302338.78797202103 683589.3126276946, 302331.14448468527 683577.3996255979, 302300.36461179366 683630.1416979347)))"
Espace vert Non aménagé 4,1.212654,6.182976,Espace vert Non aménagé,,4083.8096456625717,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302155.10467184125 683878.6288152474, 302168.70400202426 683885.0950934438, 302306.9401328979 683647.4849529816, 302293.3426029767 683641.5612928048, 302155.10467184125 683878.6288152474)))"
Stricture d'Acueil Non Amenagée,1.219494,6.166965,Stricture d'Acueil Non Amenagée,,46509.50846674186,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((303120.3706046849 682205.446313465, 303166.8754598098 682112.5319533977, 303171.5209061656 682101.1786147708, 303158.0505075881 682106.7732561422, 303138.1741762173 682094.9473887997, 303133.38427584316 682086.2424285464, 303127.0153796534 682079.921177871, 303100.7701303556 682061.7740675212, 303100.1670918278 682059.3976401993, 303095.79111752065 682055.8445861151, 303089.04135838663 682054.2814892371, 303054.84553276433 682031.4040498304, 302988.8328728091 681985.2448566876, 302914.07340343844 681933.5652261251, 302910.07825187 681925.2540234133, 302922.1850456068 681867.7345668761, 302933.6056332422 681842.3263778789, 302935.5376815601 681826.8600535945, 302933.12550029356 681817.3543413568, 302937.07432051434 681811.7914571217, 302947.38281888736 681809.7749999003, 302956.1255538082 681814.106283678, 302974.75754980516 681809.6835983586, 302994.6048956957 681812.7885928439, 303083.4484174246 681804.9603420112, 303211.9786294098 681800.9639437397, 303222.330744114 681812.0288039976, 303243.7385575549 681807.2005472861, 303287.43222475244 681822.9111358504, 303288.2389075769 681826.8725097128, 303296.8327617708 681800.5464244396, 303269.33540787257 681798.8130627812, 303022.7755164498 681797.2462169547, 302868.3768731867 681793.3897657908, 302856.7323095561 681917.6947167305, 302811.3092658953 681915.3859894485, 302803.9224494175 681951.456318855, 302802.3082593276 681975.8693862972, 302867.41236660694 681979.7043338949, 302864.42393449444 682035.2113192595, 302904.8854909974 682033.4904964395, 302932.69128642324 682043.704187353, 302960.2151544154 682064.067634966, 302973.44659598515 682083.839855749, 302989.236638756 682106.1476140604, 303009.1394881919 682125.9014878835, 303032.9858257728 682138.5068729153, 303048.080205243 682144.0061653296, 303063.16399273276 682146.3342419681, 303065.079210593 682146.7691178747, 303083.80997633666 682151.0221928909, 303106.0719968817 682164.4257026961, 303116.4373254025 682179.4545556882, 303120.4390532854 682189.7477710206, 303120.38906208734 682201.2131184866, 303120.3706046849 682205.446313465)))"
Jardin Botanique (Végétation Experimentale),1.219117,6.169297,Jardin Botanique (Végétation Experimentale,,89746.45955964997,,,,,,,2024-02-15 21:28:32,,2024-02-15 21:28:32,"MULTIPOLYGON (((302824.1003445736 682117.4004896461, 302800.61369855853 682113.7932144238, 302797.28262721305 682120.5057865646, 302796.10488737177 682128.9919080213, 302796.7358692725 682136.4142262088, 302798.80059730983 682148.596639451, 302798.52147557284 682155.1648360963, 302777.9530882552 682235.0910676902, 302765.5324692017 682296.6726172419, 302764.7230344921 682299.1867543302, 302764.99855958537 682299.9456768419, 302769.216587511 682304.7357437976, 302814.02127600246 682333.4024345184, 302855.97444772476 682272.5996870376, 302929.1068521063 682280.3969714608, 302932.2996494598 682332.6574704516, 302871.56063973904 682380.6886354914, 302877.4880413031 682389.4749763472, 302882.72103164054 682401.313850691, 302888.13249025046 682413.7525363123, 302894.2208090343 682429.2829179905, 302899.6922690818 682445.0167118497, 302920.39915328287 682501.0889867835, 302929.47802637145 682521.8602127929, 302930.3736947486 682521.4037231489, 302934.1747826993 682527.2825015446, 302934.3510563059 682527.4302170844, 302934.41937216726 682527.4336821443, 302974.3889441597 682505.2038888109, 302979.8236585271 682493.1801877957, 303120.38906208734 682201.2131184866, 303120.4390532854 682189.7477710206, 303116.4373254025 682179.4545556882, 303106.0719968817 682164.4257026961, 303083.80997633666 682151.0221928909, 303065.079210593 682146.7691178747, 303048.080205243 682144.0061653296, 303032.9858257728 682138.5068729153, 303009.1394881919 682125.9014878835, 302989.236638756 682106.1476140604, 302973.44659598515 682083.839855749, 302960.2151544154 682064.067634966, 302932.69128642324 682043.704187353, 302904.8854909974 682033.4904964395, 302864.42393449444 682035.2113192595, 302824.1003445736 682117.4004896461)))"
espace vert,1.218353,6.170132,Espace vert aménagé,Campus Sud,584.7719879150391,,,"Sciences Juridiques, Lettres et Arts 2",Amphi 500 UL,lampe soleil,limite UL,2024-03-01 18:26:56,,2024-03-01 18:26:56,"MULTIPOLYGON (((302849.6189088321 682326.2383002623, 302851.6175979709 682324.7992440823, 302858.3331934774 682324.3995062546, 302863.2099949762 682324.319558689, 302866.9675305572 682325.1190343446, 302867.5271635161 682326.3182478278, 302867.2473470367 682329.7759800382, 302862.95016538835 682356.8482244236, 302861.21130583755 682359.481497364, 302860.3218891707 682360.1960287312, 302857.30386857106 682360.3359369709, 302855.9447599566 682360.0361336, 302853.50635920727 682358.5770905287, 302850.59826651023 682356.2036471764, 302848.4396822403 682352.8458494231, 302847.9300165099 682352.0163934304, 302846.99063261464 682346.7198672126, 302847.110553963 682342.6175577551, 302848.8893872965 682327.4575006372, 302849.6189088321 682326.2383002623)))"
