nom,longitude,latitude,aire,secteur,image,eclairage,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
bassin d'orage 2,1.215669,6.172703,8391.900848388672,Campus Sud,,True,,"Sciences Juridiques, Lettres et Arts 1",limite UL,2024-02-29 20:36:54,saguintaah,,"MULTIPOLYGON (((302524.6782559471 682679.6135121821, 302546.2751040681 682693.2768242586, 302582.7106029389 682694.8929149343, 302590.8989487346 682663.2666631724, 302591.7253587393 682623.7091709513, 302593.9772080296 682565.1661006166, 302531.2872404005 682561.0121985998, 302527.94716663216 682633.7018452578, 302524.6782559471 682679.6135121821)))"
bassin d'orage 1,1.220535,6.166316,83854.7010345459,Campus Sud,,True,,Complexe écotouristique,limite UL,2024-02-29 20:34:46,saguintaah,,"MULTIPOLYGON (((302894.5304015747 681936.4689066854, 302928.13774176297 681804.5738699465, 303080.95076087955 681788.95061744, 303210.43939934456 681791.3513098723, 303263.10442408 681802.2453358346, 303305.89422525244 681819.9193841447, 303258.6639007884 681929.0835244232, 303184.96234663524 682085.178477807, 303172.65126970725 682103.7969800122, 303165.56603314594 682115.0546815189, 303141.24133495695 682104.6157956272, 302894.5304015747 681936.4689066854)))"
