nom,longitude,latitude,fonctionnel,secteur,type,materiel,nombe_place,toiture,image,date_creation,zone,trame_verte,aire_repos,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Reposoir  499,1.210963,6.185656,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:36,Kpogli gédéon ,2024-11-01 23:42:36,POINT (302044.7102000816 684060.5852153165)
Reposoir  500,1.210982,6.185688,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302046.7679699095 684064.0418622076)
Reposoir  501,1.210986,6.185659,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302047.2546918987 684060.8298086689)
Reposoir  502,1.210988,6.185625,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302047.4106188655 684057.1376600442)
Reposoir  503,1.210996,6.18562,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302048.2710672042 684056.5389770995)
Reposoir  504,1.211019,6.185561,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302050.8190833313 684050.0031765472)
Reposoir  505,1.211019,6.185561,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302050.8190833313 684050.0031765472)
Reposoir  506,1.211022,6.185618,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302051.19989354745 684056.3659893499)
Reposoir  507,1.211018,6.185635,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302050.7720996951 684058.176799185)
Reposoir  508,1.211023,6.185652,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302051.305994199 684060.0355789983)
Reposoir  509,1.210999,6.185682,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302048.6595868737 684063.3835254109)
Reposoir  510,1.210974,6.185712,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302045.86017906247 684066.7873961675)
Reposoir  511,1.210967,6.185739,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302045.1072815048 684069.6775123823)
Reposoir  512,1.210952,6.185788,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302043.455877201 684075.1445813276)
Reposoir  513,1.210927,6.185841,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302040.71821473434 684081.0094749056)
Reposoir  514,1.210921,6.185871,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302040.1381723158 684084.3491401492)
Reposoir  515,1.210896,6.185901,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302037.3820060096 684087.6100852365)
Reposoir  516,1.210687,6.186211,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302014.3405776321 684121.9732231654)
Reposoir  517,1.210704,6.186189,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302016.19476772205 684119.5355014395)
Reposoir  518,1.210708,6.18616,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302016.66603168234 684116.4013594412)
Reposoir  519,1.210715,6.18614,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302017.4187812625 684114.1914156089)
Reposoir  520,1.210703,6.18612,True,Campus Nord,Banc,Béton,2.0,,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-01 23:42:37,Kpogli gédéon ,2024-11-01 23:42:37,POINT (302016.07477659103 684111.9707239612)
Reposoir 521,1.21563,6.168045,True,Campus Sud,Table banc,Béton,4.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:37,AZONDJAGNI Yao Divin ,2024-11-01 23:42:37,POINT (302554.70380219794 682111.1079650843)
Reposoir 522,1.215538,6.168027,True,Campus Sud,Table banc,Béton,4.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:37,AZONDJAGNI Yao Divin ,2024-11-01 23:42:37,POINT (302544.55062759935 682109.1143425247)
Reposoir 523,1.215298,6.168162,True,Campus Sud,Table banc,Béton,4.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:37,AZONDJAGNI Yao Divin ,2024-11-01 23:42:37,POINT (302518.0355232466 682124.1336826346)
Reposoir 524,1.21537,6.168248,True,Campus Sud,Table banc,Béton,4.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:37,AZONDJAGNI Yao Divin ,2024-11-01 23:42:37,POINT (302526.0002416697 682133.6920787618)
Reposoir 525,1.215417,6.168327,True,Campus Sud,Banc,Béton,2.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:37,AZONDJAGNI Yao Divin ,2024-11-01 23:42:37,POINT (302531.22072408075 682142.3528882877)
Reposoir 526,1.216035,6.16822,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302599.5971505566 682130.3121551332)
