nom,longitude,latitude,fonctionnel,secteur,image,date_creation,zone,limite,geometry
passerelle 1,,,True,,,,Espace administratif et pédagogique 2,limite UL,"LINESTRING (302527.6297810144 682789.145044832, 302552.75113172503 682803.1327097012, 302554.8240571349 682800.1738769299, 302529.4672389286 682786.2051121693, 302527.6297810144 682789.145044832)"
passerelle 2,,,True,,,,Aires sportives 1,limite UL,"LINESTRING (302749.43136746075 682607.2673356213, 302754.33125523204 682614.9846588611, 302761.8868791416 682631.3176079504, 302764.8660139402 682639.392224822)"
