nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
point d'eau 9,1.213749,6.174058,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:08,POINT (302348.7478947757 682776.768625689)
point d'eau 10,1.212138,6.173403,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:08,NOUTCHET,2024-11-03 20:21:08,POINT (302170.1740089946 682704.9455588473)
point d'eau,1.210695,6.171704,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMIDOU faouziatou,2024-11-03 20:21:08,POINT (302009.8568594924 682517.5572226432)
point d'eau ,1.210889,6.171763,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMIDOU faouziatou,2024-11-03 20:21:08,POINT (302031.27139001084 682524.0304444826)
Robinet cfpj,1.211592,6.172944,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMEKUDZI ,2024-11-03 20:21:08,POINT (302109.5277251693 682654.4448127256)
Robinet ,1.212321,6.170731,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMEKUDZI ,2024-11-03 20:21:08,POINT (302189.42942688544 682409.4253038679)
Robinet politank ,1.213881,6.172039,False,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMEKUDZI ,2024-11-03 20:21:08,POINT (302362.569975283 682553.4391508781)
point d'eau 29,1.214885,6.172281,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,AMEKUDZI ,2024-11-03 20:21:08,POINT (302473.84044913703 682579.8372842199)
point d'eau 32,1.215493,6.171699,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:08,Abel ,2024-11-03 20:21:08,POINT (302540.86845686164 682515.2906817477)
point d'eau 35,1.2144,6.169038,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:08,ADIKA Afi Cathérine ,2024-11-03 20:21:08,POINT (302418.9233806599 682221.3908864569)
point d'eau 36,1.215616,6.168345,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:08,ADIKA Afi Cathérine ,2024-11-03 20:21:08,POINT (302553.3140771645 682144.3336970017)
point d'eau 37,1.216685,6.168779,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:09,ADIKA Afi Cathérine,2024-11-03 20:21:09,POINT (302671.70781851036 682191.878990087)
point d'eau 38,1.216524,6.168821,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:09,ADIKA Afi Cathérine,2024-11-03 20:21:09,POINT (302653.9645602616 682196.5613021138)
point d'eau 39,1.216689,6.168469,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:09,ADIKA Afi Cathérine,2024-11-03 20:21:09,POINT (302672.124490657 682157.6147131935)
point d'eau 42,1.218468,6.171088,True,,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:09,AWOUSSI Daniel,2024-11-03 20:21:09,POINT (302869.9971140328 682446.568156858)
point d'eau 43,1.218377,6.17209,True,Campus Sud,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:09,AWOUSSI Daniel,2024-11-03 20:21:09,POINT (302860.2423132277 682557.5016059878)
point d'eau 44,1.217498,6.172596,True,Campus Sud,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:09,AWOUSSI Daniel,2024-11-03 20:21:09,POINT (302763.10239321203 682613.729889266)
point d'eau 45,1.216208,6.173263,True,Campus Sud,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:09,AWOUSSI Daniel,2024-11-03 20:21:09,POINT (302620.6175829779 682687.9583427163)
point d'eau 46,1.215775,6.174004,False,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:09,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:09,POINT (302572.9693110268 682770.1078105938)
point d'eau 47,1.213805,6.175636,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:09,Abel ,2024-11-03 20:21:09,POINT (302355.54424853105 682951.3618749094)
point d'eau 49,1.214627,6.17387,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:09,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:09,POINT (302445.81905348063 682755.6520068311)
point d'eau 50,1.213285,6.173687,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:09,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:09,POINT (302297.1810253571 682735.989745969)
point d'eau 51,1.213231,6.173614,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:09,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:09,POINT (302291.1801351515 682727.9252361037)
point d'eau ,1.210492,6.172513,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:21:09,AMIDOU faouziatou,2024-11-03 20:21:09,POINT (301987.66037931293 682607.160184185)
point d'eau 53,1.210869,6.172408,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:21:09,Sanou Gbati,2024-11-03 20:21:09,POINT (302029.3194497798 682595.4020213174)
point d'eau 54,1.211033,6.172492,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:21:09,Sanou Gbati,2024-11-03 20:21:09,POINT (302047.46666398854 682604.582572319)
Robinet ,1.211894,6.172737,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:09,AMEKUDZI ,2024-11-03 20:21:09,POINT (302142.91035459255 682631.4048571493)
Robinet ,1.211559,6.172728,False,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:09,AMEKUDZI ,2024-11-03 20:21:09,POINT (302105.8278207823 682630.4996894391)
point d'eau 58,1.211433,6.171511,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:09,AMIDOU faouziatou,2024-11-03 20:21:09,POINT (302091.41719709674 682495.9558099695)
point d'eau 59,1.211439,6.171643,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:09,AMIDOU faouziatou,2024-11-03 20:21:09,POINT (302092.13391784695 682510.6318525659)
point d'eau,1.211419,6.171645,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:09,AMIDOU faouziatou,2024-11-03 20:21:09,POINT (302089.95506663504 682510.8128046753)
point d'eau 61,1.212126,6.171474,False,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:10,AMEKUDZI ,2024-11-03 20:21:10,POINT (302168.1652956104 682491.6481495699)
point d'eau 65,1.213015,6.172572,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:10,AMEKUDZI ,2024-11-03 20:21:10,POINT (302266.8839452199 682612.7347912589)
point d'eau 71,1.215688,6.171065,True,Campus Sud,Tde,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:21:10,Abel,2024-11-03 20:21:10,POINT (302562.226475048 682445.1007417769)
point d'eau 73,1.216027,6.167858,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:10,ADIKA Afi Cathérine ,2024-11-03 20:21:10,POINT (302598.5321046336 682090.2254785285)
point d'eau 76,1.217418,6.169223,True,,,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:10,AWOUSSI Daniel,2024-11-03 20:21:10,POINT (302753.0283691513 682240.7594813457)
point d'eau 78,1.217404,6.169132,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:10,ADIKA Afi Cathérine ,2024-11-03 20:21:10,POINT (302751.46166470816 682230.6937821201)
point d'eau 79,1.218472,6.172242,True,Campus Sud,Forage,,,Grandes aires de stationnement 2,,,limite UL,2024-11-03 20:21:10,ALFA-GANI Cissé Bilal ,2024-11-03 20:21:10,POINT (302870.87648966815 682574.2130182501)
point d'eau 80,1.2174,6.172765,True,Campus Sud,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:10,AWOUSSI Daniel,2024-11-03 20:21:10,POINT (302752.3641035719 682632.4511447506)
point d'eau 81,1.216221,6.173335,True,Campus Sud,Tde,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:10,AWOUSSI Daniel ,2024-11-03 20:21:10,POINT (302622.08438148967 682695.9451572725)
point d'eau 82,1.215661,6.173636,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:10,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:10,POINT (302560.170461755 682729.4676341701)
point d'eau 83,1.215723,6.176134,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302568.0293266643 683005.6326455906)
point d'eau 84,1.215434,6.176113,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302536.0124533838 683003.4915231739)
point d'eau 85,1.21506,6.176482,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302494.7017320324 683044.4424836712)
point d'eau 86,1.215104,6.175882,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:10,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:10,POINT (302499.38243899215 682978.0044985401)
point d'eau 87,1.214962,6.175912,True,Campus Sud,Tde,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-03 20:21:10,ACHIANGBON Ablavi Sarra ,2024-11-03 20:21:10,POINT (302483.7251156799 682981.4644827573)
point d'eau 93,1.212559,6.175179,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel,2024-11-03 20:21:10,POINT (302217.46032626997 682901.261412047)
point d'eau 95,1.211958,6.17587,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302151.1387391635 682977.831471964)
point d'eau 96,1.211968,6.176622,True,Campus Sud,Forage,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302152.54408216523 683061.0953079073)
point d'eau 98,1.213116,6.177283,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:10,Abel ,2024-11-03 20:21:10,POINT (302279.8904608775 683133.7579759028)
point d'eau 99,1.212574,6.17742,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:11,Abel,2024-11-03 20:21:11,POINT (302219.87533167016 683149.1168048705)
point d'eau 100,1.212417,6.178079,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:11,AMEKUDZI ,2024-11-03 20:21:11,POINT (302202.79437335697 683222.044369289)
point d'eau 102,1.212767,6.179138,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:11,AMEKUDZI ,2024-11-03 20:21:11,POINT (302241.9330626071 683338.9566883247)
point d'eau 106 CHU ,1.212945,6.180089,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:11,AMEKUDZI ,2024-11-03 20:21:11,POINT (302261.9830227726 683444.1246591394)
point d'eau 108,1.213659,6.180788,False,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:11,AMEKUDZI ,2024-11-03 20:21:11,POINT (302341.2334543796 683521.213392669)
point d'eau 110,1.214178,6.180777,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:11,GOMADO koffi Eustache ,2024-11-03 20:21:11,POINT (302398.7012731056 683519.7032411583)
point d'eau 111,1.213615,6.182003,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:11,GOMADO koffi Eustache ,2024-11-03 20:21:11,POINT (302336.8706804296 683655.503884649)
point d'eau 112,1.213697,6.181974,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:11,GOMADO koffi Eustache ,2024-11-03 20:21:11,POINT (302345.9505445566 683652.2870895503)
point d'eau 113,1.21392,6.182278,True,Campus Sud,Tde,,,Zone résidentielles 2,,,limite UL,2024-11-03 20:21:11,GOMADO koffi Eustache ,2024-11-03 20:21:11,POINT (302370.7375491257 683685.8806370853)
point d'eau 114,1.213594,6.182227,True,Campus Nord,Forage,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:11,NUTSUDZA Blessing,2024-11-03 20:21:11,POINT (302334.61426108086 683680.3615085664)
point d'eau 115,1.211189,6.182401,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,KOUGBALI,2024-11-03 20:21:11,POINT (302068.4279309212 683700.4237653824)
point d'eau 116,1.21078,6.182796,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,KOUGBALI,2024-11-03 20:21:11,POINT (302023.3271167325 683744.3520569153)
point d'eau 117,1.210093,6.184224,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,SOTOWOU Honorine ,2024-11-03 20:21:11,POINT (301947.8057604688 683902.502552825)
point d'eau 119,1.208721,6.183586,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,SOTOWOU Honorine ,2024-11-03 20:21:11,POINT (301795.68846205075 683832.4426886257)
point d'eau 120,1.208632,6.18367,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,SOTOWOU Honorine ,2024-11-03 20:21:11,POINT (301785.9451819439 683841.7712171491)
point d'eau 121,1.207937,6.183768,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:11,SOTOWOU Honorine ,2024-11-03 20:21:11,POINT (301709.0458139464 683852.9197503689)
point d'eau 124,1.209439,6.18705,True,Campus Nord,Tde,,,Espace administratif,,,limite UL,2024-11-03 20:21:11,AZONDJAGNI Yao Divin ,2024-11-03 20:21:11,POINT (301876.5260852972 684215.3148305197)
point d'eau 125,1.209716,6.187563,True,Campus Nord,Tde,,,Espace administratif,,,limite UL,2024-11-03 20:21:11,AZONDJAGNI Yao Divin ,2024-11-03 20:21:11,POINT (301907.3975056206 684271.8631778787)
point d'eau 127,1.210855,6.18682,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:11,AZOTI Croix ,2024-11-03 20:21:11,POINT (302033.1637937488 684189.352148281)
point d'eau 128,1.210911,6.186022,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:11,AZOTI Croix ,2024-11-03 20:21:11,POINT (302039.0282071036 684100.9862530195)
point d'eau 129,1.210244,6.186531,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:11,AZOTI Croix ,2024-11-03 20:21:11,POINT (301965.46245438384 684157.6351892267)
point d'eau 130,1.210566,6.185769,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:11,AZOTI Croix ,2024-11-03 20:21:11,POINT (302000.82019241253 684073.2399445485)
point d'eau 131,1.211016,6.185209,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:11,AZOTI Croix ,2024-11-03 20:21:11,POINT (302050.3497644403 684011.0580645541)
point d'eau 132,1.211854,6.185718,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:11,NUTSUDZA Blessing,2024-11-03 20:21:11,POINT (302143.35935088544 684067.0910656607)
point d'eau 133,1.211599,6.185715,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302115.120356457 684066.8332616389)
point d'eau 134,1.214447,6.17655,True,Campus Sud,Forage,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:12,Abel,2024-11-03 20:21:12,POINT (302426.9480396252 683052.116187086)
point d'eau 136,1.211658,6.185497,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302121.528605393 684042.6816143931)
point d'eau 138,1.21229,6.185309,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302191.4709136819 684021.6220259321)
point d'eau 139,1.211763,6.185275,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302133.12643649825 684018.0579580063)
point d'eau 140,1.211709,6.185141,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302127.0022178842 684003.2585410435)
point d'eau 141,1.212034,6.185406,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302163.1375923157 684032.4850514903)
point d'eau 142,1.212357,6.184544,True,Campus Nord,Forage,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:12,NUTSUDZA Blessing,2024-11-03 20:21:12,POINT (302198.55049682606 683937.0622104958)
Point d'eau ,1.213467,6.175486,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:12,Abel ,2024-11-03 20:21:12,POINT (302318.0975563993 682934.8813729255)
Point d'eau ,1.214006,6.175909,True,Campus Sud,Forage,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:12,Abel ,2024-11-03 20:21:12,POINT (302377.83261906775 682981.4811856251)
Point d'eau ,1.214254,6.175915,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:12,Abel ,2024-11-03 20:21:12,POINT (302405.2605807327 682982.0173735034)
Points d'eau 131,1.210775,6.186713,False,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:21:12,AZOTI Croix ,2024-11-03 20:21:12,POINT (302024.2537288494 684177.5508225315)
Pas de bon,1.213989,6.179573,True,Campus Sud,Tde,,,Zone marchande 2,,,limite UL,2024-11-03 20:21:12,,2024-11-03 20:21:12,POINT (302377.2984568433 683386.6848827869)
Lavabo ,1.212303,6.17813,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI,2024-11-03 20:21:12,POINT (302190.1836299723 683227.6678981918)
Lavabo ,1.212694,6.179214,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI,2024-11-03 20:21:12,POINT (302233.8605457023 683347.3913906951)
Robinet ,1.212503,6.178966,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI,2024-11-03 20:21:12,POINT (302212.6787876988 683320.06410512)
Robinet CHU ,1.211562,6.178622,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302108.3555017822 683282.429265539)
Robinet CHU ,1.212449,6.179588,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302206.92782577296 683388.8960429255)
Robinet CHU ,1.212449,6.179588,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302206.92782577296 683388.8960429255)
Robinet CHU ,1.212476,6.179461,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302209.8393177078 683374.8552524999)
Lavabo CHU ,1.212563,6.179411,False,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302219.39181322156 683369.3175298083)
Robinet CHU ,1.21214,6.180139,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302172.9382734631 683449.9888381587)
Lavabo CHU ,1.212284,6.179959,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI 3e,2024-11-03 20:21:12,POINT (302188.71150958166 683429.9707380168)
Lavabo CHU ,1.212809,6.180253,False,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302246.99252045905 683462.2889306046)
Robinet ,1.212374,6.180743,True,Campus Nord,Forage,,,Sciences de la Santé,,,limite UL,2024-11-03 20:21:12,AMEKUDZI ,2024-11-03 20:21:12,POINT (302199.0685610329 683516.6994677155)
Point d'eau 122,1.208317,6.184763,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi,2024-11-03 20:21:13,POINT (301751.44466023013 683962.8220773693)
Point d'eau ,1.208441,6.184734,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301765.15018849925 683959.5308840651)
Point d'eau ,1.208428,6.184702,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301763.6834247691 683955.9451588601)
Point d'eau ,1.208398,6.1847,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301760.40282272577 683955.8192527174)
Point d'eau ,1.208341,6.184742,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301754.06791329547 683960.4222694495)
Point d'eau ,1.208408,6.184768,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301761.50739803613 683963.3195228787)
Point d'eau ,1.208415,6.184776,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301762.35149346176 683964.2106870243)
Point d'eau ,1.208606,6.184505,True,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301783.3565839342 683934.1700983691)
Point d'eau ,1.208394,6.1844,False,Campus Nord,Forage,,,Zone résidentielles 1,,,limite UL,2024-11-03 20:21:13,DAYOU Koffi ,2024-11-03 20:21:13,POINT (301759.8509709417 683922.5992899712)
Point d'eau ,1.209433,6.18721,True,Campus Nord,Tde,,,Espace administratif,,,limite UL,2024-11-03 20:21:13,AZONDJAGNI Yao Divin ,2024-11-03 20:21:13,POINT (301875.9373566173 684232.9803084997)
Point eau,1.211872,6.185874,True,Campus Nord,Tde,,,Espace administratif et pédagogique 1,,,limite UL,2024-11-03 20:21:13,NUTSUDZA Blessing,2024-11-03 20:21:13,POINT (302145.36743726494 684084.2747934067)
P1,1.211562,6.177452,False,Campus Nord,Tde,,,Crèche,,,limite UL,2024-11-03 20:21:13,AMIDOU faouziatou ,2024-11-03 20:21:13,POINT (302107.88109685155 683152.9554252989)
P2,1.211513,6.17753,False,Campus Nord,Tde,,,Crèche,,,limite UL,2024-11-03 20:21:13,AMIDOU faouziatou,2024-11-03 20:21:13,POINT (302102.56037633854 683161.6367451692)
P3 ,1.211218,6.177733,False,Campus Nord,Tde,,,Crèche,,,limite UL,2024-11-03 20:21:13,AMIDOU faouziatou,2024-11-03 20:21:13,POINT (302069.9835411078 683184.2343040948)
Pointeau,1.218413,6.170957,True,Campus Sud,Forage,,,Aires sportives 1,,,limite UL,2024-11-03 20:21:13,AWOUSSI Daniel,2024-11-03 20:21:13,POINT (302863.86123201705 682432.0946085595)
Point d'eau ,1.214467,6.176133,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:21:13,Abel ,2024-11-03 20:21:13,POINT (302428.956920117 683005.9945771415)
Robinet ,1.210234,6.187775,True,Campus Nord,Tde,,,Zone marchande 1,,,limite UL,2024-11-03 20:21:13,KONDOW Achiraf ,2024-11-03 20:21:13,POINT (301964.8149534355 684295.1190657311)
Robinet ,1.210232,6.187773,True,Campus Nord,Tde,,,Zone marchande 1,,,limite UL,2024-11-03 20:21:13,KONDOW Achiraf ,2024-11-03 20:21:13,POINT (301964.56715644 684294.936690812)
Robinet ,1.21023,6.187771,True,Campus Nord,Tde,,,Zone marchande 1,,,limite UL,2024-11-03 20:21:13,KONDOW Achiraf ,2024-11-03 20:21:13,POINT (301964.3762879457 684294.7109070778)
Point d'eau ,1.219416,6.169923,True,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302974.4844123494 682317.3947553751)
Point d'eau ,1.219246,6.170001,True,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302955.6718065988 682326.1231976852)
Point d'eau ,1.21915,6.171124,False,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302945.5128509522 682450.3380378862)
Point d'eau ,1.219165,6.171286,True,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302947.1758286751 682468.2338985854)
Point d'eau ,1.218855,6.170926,True,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302912.7737755898 682428.5115405543)
Point d'eau ,1.218631,6.170695,True,Campus Sud,Forage,,,Complexe écotouristique,,,limite UL,2024-11-03 20:21:13,Atchou ablavi emmanuella ,2024-11-03 20:21:13,POINT (302887.87322054 682403.1298191625)
Point d'eau ,1.210657,6.182418,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:13,KOUGBALI,2024-11-03 20:21:13,POINT (302009.5574149003 683702.585268397)
Point d'eau ,1.209297,6.183532,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:21:13,KOUGBALI ,2024-11-03 20:21:13,POINT (301859.44014868233 683826.2221627355)
