nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
robinet 140,1.212272,6.170502,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302183.9244869927 682384.1032221658)
robinet 141,1.213383,6.171271,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302307.2120340814 682468.7363854599)
robinet 142,1.212218,6.171874,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302178.45722278394 682535.879314721)
robinet 143,1.212207,6.171968,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302177.32757238345 682546.2472672447)
robinet 144,1.214221,6.1728,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302400.45772348763 682637.5396737291)
robinet 145,1.214221,6.1728,True,Campus Sud,Forage,,,"Sciences Juridiques, Lettres et Arts 1",,,limite UL,2024-11-03 20:17:34,AMEKUDZI ,2024-11-03 20:17:34,POINT (302400.45772348763 682637.5396737291)
robinet 146,1.209634,6.179014,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:34,EHO kodzo Emmanuel ,2024-11-03 20:17:34,POINT (301895.0795412693 683326.4252015052)
robinet 147,1.20955,6.179376,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:34,EHO kodzo Emmanuel ,2024-11-03 20:17:34,POINT (301885.97645478905 683366.5075202659)
robinet 148,1.209544,6.179735,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:34,EHO kodzo Emmanuel ,2024-11-03 20:17:34,POINT (301885.44285126706 683406.2823022516)
robinet 149,1.209566,6.18005,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301887.9210110492 683441.1121000082)
robinet 150,1.209276,6.180416,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301856.0012272012 683481.5996965653)
robinet 151,1.209289,6.180287,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301857.36348747474 683467.3711953488)
robinet 152,1.209271,6.180338,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301855.43880180095 683473.0092869871)
robinet 153,1.209232,6.180327,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301851.0981499185 683471.8394003676)
robinet 154,1.209123,6.180474,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301839.0982245412 683488.1751972196)
robinet 155,1.209123,6.180323,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301839.0583849151 683471.4076763857)
robinet 156,1.209577,6.180531,True,Campus Sud,Forage,,,Aires forestières 3,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301889.3164390221 683494.2958387759)
robinet 157,1.209096,6.181997,True,Campus Sud,Forage,,,Grandes aires de stationnement 1,,,limite UL,2024-11-03 20:17:35,EHO kodzo Emmanuel ,2024-11-03 20:17:35,POINT (301836.65906210424 683656.6175564703)
robinet 158,1.212373,6.175242,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302196.9136194958 682908.2659311491)
robinet 159,1.212418,6.175381,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302201.94400747033 682923.650790556)
robinet 160,1.211892,6.17564,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302143.7837243734 682952.508423875)
robinet 161,1.211894,6.175157,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302143.795824314 682899.0910899835)
robinet 162,1.212526,6.174894,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302213.6905811483 682869.6908644121)
robinet 163,1.21246,6.174835,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302206.3168713508 682863.1903902742)
robinet 164,1.212472,6.174864,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302207.6393041528 682866.4021135895)
robinet 165,1.212457,6.174877,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302205.9752472103 682867.9261973588)
robinet 166,1.212489,6.174846,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302209.5685938182 682864.4236915923)
robinet 167,1.212779,6.174871,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:35,Abel ,2024-11-03 20:17:35,POINT (302241.7003399856 682867.1118378689)
robinet 168,1.209639,6.183578,True,Campus Nord,Tde,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:17:35,SOTOWOU Honorine ,2024-11-03 20:17:35,POINT (301897.36838302977 683831.1867162089)
robinet 169,1.208596,6.183844,True,Campus Nord,Forage,,,Sciences de l'Homme et de la Société,,,limite UL,2024-11-03 20:17:35,SOTOWOU Honorine ,2024-11-03 20:17:35,POINT (301782.05727302074 683860.975164717)
robinet 170,1.212309,6.169911,True,Campus Sud,Tde,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:35,NUTSUDZA Blessing ,2024-11-03 20:17:35,POINT (302187.84807729855 682318.6683023082)
robinet 171,1.212628,6.170012,True,Campus Sud,Tde,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:35,NUTSUDZA Blessing ,2024-11-03 20:17:35,POINT (302223.1638290065 682329.7250941859)
robinet 172,1.212625,6.170013,True,Campus Sud,Tde,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:35,NUTSUDZA Blessing ,2024-11-03 20:17:35,POINT (302222.8024754369 682329.8790499881)
robinet 173,1.212706,6.169889,True,Campus Sud,Tde,,,Zone de Coopération,,,limite UL,2024-11-03 20:17:36,NUTSUDZA Blessing ,2024-11-03 20:17:36,POINT (302231.68672646926 682316.0779123452)
robinet 174,1.210733,6.185041,True,Campus Nord,Tde,,,Sciences Economiques et de Gestion,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302018.9489864157 683992.6238655011)
